Code ISIN;Catégorie Morningstar;Libellé du fonds;Société de gestion;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %;Page
FR0013275112;ACTIONS EUROPE ZONE EURO;Ofi Invest ESG Euro Equity R;OFI Asset Management;4;1,8;0,5;2,3;21
LU0185495495;ACTIONS ETATS-UNIS GDES CAP. MIXTE;Ofi Invest US Equity R EUR;OFI Lux;5;2,1;0,5;2,6;21
FR0010341800;ACTIONS SECTEUR ENVIRONNEMENT;Palatine Planète I;Palatine Asset Management;4;1,51;0,5;2,01;21
FR0010915181;ACTIONS EUROPE GDES CAP. MIXTE;Palatine Europe Sustainable Employment Palatine;Palatine Asset Management;4;1,21;0,5;1,71;21
LU0176900511;ACTIONS JAPON;Pictet-Japanese Equity Selection;Pictet Asset Management (Europe) S.A.;4;1,51;0,5;2,01;21
LU0090689299;ACTIONS SECTEUR SANTE;Pictet-Biotech-P USD;Pictet Asset Management (Europe) S.A.;5;1,99;0,5;2,49;21
LU0104884860;THEMATIQUES WATER;Pictet-Water-P EUR;Pictet Asset Management (Europe) S.A.;4;1,99;0,5;2,49;21
LU0144509717;ACTIONS EUROPE GDES CAP. MIXTE;Pictet-Quest Europe Sustainable Equities-P EUR;Pictet Asset Management (Europe) S.A.;4;1,17;0,5;1,67;21
LU0217138725;ACTIONS SECTEUR BIENS DE CONSOMMATION;Pictet-Premium Brands-R EUR;Pictet Asset Management (Europe) S.A.;4;2,7;0,5;3,2;21
LU0255977455;ACTIONS SECTEUR SANTE;Pictet-Biotech-P EUR;Pictet Asset Management (Europe) S.A.;5;1,99;0,5;2,49;22
LU0340554913;THEMATIQUES TECHNOLOGIE;Pictet - Digital P EUR;Pictet Asset Management (Europe) S.A.;5;1,99;0,5;2,49;22
LU0386882277;ACTIONS THEMATIQUES;Pictet - Global Megatrend Selection - P EUR;Pictet Asset Management (Europe) S.A.;4;2;0,5;2,5;22
LU0503631714;ACTIONS SECTEUR ENVIRONNEMENT;Pictet - Global Environmental Opportunities P EUR;Pictet Asset Management (Europe) S.A.;4;2;0,5;2,5;22
FR0011689330;ACTIONS EUROPE FLEX CAP;Richelieu Family R;Richelieu Invest;4;1,8;0,5;2,3;22
LU0254836850;ACTIONS MARCHÉS EMERGENTS;Robeco Capital Growth Funds - Robeco Emerging Stars Equities D EUR;Robeco Institutional AM BV;4;1,76;0,5;2,26;22
LU0320896664;ACTIONS ETATS-UNIS GDES CAP. 'VALUE';Robeco BP US Premium Equities DH €;Robeco Institutional AM BV;4;1,71;0,5;2,21;22
LU0187079347;ACTIONS SECTEUR BIENS DE CONSOMMATION;Robeco Global Consumer Trends D EUR;Robeco Institutional AM BV;4;1,71;0,5;2,21;22
LU1648456991;ACTIONS MARCHÉS EMERGENTS;Robeco QI Emerging Markets 3D Active Equities D EUR;Robeco Institutional AM BV;4;1,5;0,5;2;22
LU2145460353;ACTIONS MONDE GDES CAP.;Robeco Global SDG Equities D-EUR Capitalisation;Robeco Institutional AM BV;4;1,61;0,5;2,11;22
LU2145461757;SECTEUR TRANSITION ENERGETIQUE;Robeco Smart Energy D- EUR Capitalisation;Robeco Institutional AM BV;5;1,72;0,5;2,22;22
LU2146189407;ACTIONS SECTEUR SANTE;Robeco Healthy Living D EUR;Robeco Institutional AM BV;3;1,71;0,5;2,21;22
LU2146190835;THEMATIQUES WATER;Robeco Sustainable Water D-EUR Capitalisation;Robeco Institutional AM BV;4;1,71;0,5;2,21;22
FR0000400434;ACTIONS FRANCE;Elan France Bear;Rothschild & Co Asset Management Europe;4;0,77;0,5;1,27;22
FR0010784835;ACTIONS EUROPE ZONE EURO;R-co 4Change Net Zero Equity Euro C EUR;Rothschild & Co Asset Management Europe;5;1,84;0,5;2,34;22
FR0007457890;IMMOBILIER - INDIRECT EUROPE;R-co Thematic Real Estate C EUR;Rothschild & Co Asset Management Europe;5;1,52;0,5;2,02;22
FR0010187898;ACTIONS EUROPE ZONE EURO;R-co Conviction Equity Value Euro C EUR;Rothschild & Co Asset Management Europe;5;1,52;0,5;2,02;23
LU0248178732;ACTIONS ETATS-UNIS PETITES CAP.;Schroder International Selection Fund US Small & Mid-Cap Equity A Accumulation EUR;Schroder Investment Management (Europe) S.A.;4;1,84;0,5;2,34;23
LU0374901568;ACTIONS SECTEUR ENERGIE;Schroder International Selection Fund Global Energy A Accumulation EUR;Schroder Investment Management (Europe) S.A.;5;1,85;0,5;2,35;23
LU0557290698;ACTIONS MONDE GDES CAP.;Schroder International Selection Fund Global Sustainable Growth A Accumulation USD;Schroder Investment Management (Europe) S.A.;4;1,64;0,5;2,14;23
FR0000988503;ACTIONS SECTEUR BIENS DE CONSOMMATION;SG Actions Luxe C C;Société Générale Gestion;4;2,12;0,5;2,62;23
FR0007035159;ACTIONS FRANCE;Prévoir Gestion Actions C;Société de Gestion Prévoir;5;1,8;0,5;2,3;23
FR0011694256;IMMOBILIER - INDIRECT EUROPE;Sofidy Sélection 1 P;Sofidy;4;0,08;0,5;0,58;23
LU0138501191;ACTIONS MONDE GDES CAP.;Sparinvest SICAV Global Value EUR R;Sparinvest S.A.;4;1,9;0,5;2,4;23
FR0011169341;ACTIONS EUROPE GDES CAP. MIXTE;Sycomore Sélection Responsable R;Sycomore AM;4;2;0,5;2,5;23
LU1183791794;ACTIONS SECTEUR ENVIRONNEMENT;Sycomore Fund SICAV - Sycomore Europe Eco Solutions R EUR;Sycomore AM;4;2;0,5;2,5;23
