Code ISIN;Libellé du fonds;Société de gestion;Catégorie Morningstar;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %
LU0164881194;HSBC Global Investment Funds - Indian Equity AC;HSBC Investment Funds (Luxembourg) S.A.;ACTIONS MARCHÉS EMERGENTS ASIE;5;1,50%;0,60%;2,10%
LU0171285314;BlackRock Global Funds - Global Long-Horizon Equity Fund A2;BlackRock (Luxembourg) SA;ACTIONS MONDE GDES CAP.;4;1,50%;0,60%;2,10%
LU0171289498;BlackRock Global Funds - Latin American Fund A2;BlackRock (Luxembourg) SA;ACTIONS MARCHÉS EMERGENTS MONDE;5;1,75%;0,60%;2,35%
LU0171289902;BlackRock Global Funds - Sustainable Energy Fund A2;BlackRock (Luxembourg) SA;SECTEUR TRANSITION ENERGETIQUE;5;1,65%;0,60%;2,25%
LU0171296865;BlackRock Global Funds - US Flexible Equity Fund A2;BlackRock (Luxembourg) SA;ACTIONS ETATS-UNIS GDES CAP. MIXTE;4;1,50%;0,60%;2,10%
LU0171298648;BlackRock Global Funds - US Mid-Cap Value Fund A2;BlackRock (Luxembourg) SA;ACTIONS ETATS-UNIS MOYENNES CAP.;5;1,50%;0,60%;2,10%
LU0171301533;BlackRock Global Funds - World Energy Fund A2;BlackRock (Luxembourg) SA;ACTIONS SECTEUR ENERGIE;6;1,75%;0,60%;2,35%
LU0171305526;BlackRock Global Funds - World Gold Fund A2;BlackRock (Luxembourg) SA;ACTIONS SECTEUR METAUX PRECIEUX;6;1,75%;0,60%;2,35%
LU0171306680;BlackRock Global Funds - World Gold Fund E2;BlackRock (Luxembourg) SA;ACTIONS SECTEUR METAUX PRECIEUX;6;2,25%;0,60%;2,85%
LU0172157363;BlackRock Global Funds - World Mining Fund E2;BlackRock (Luxembourg) SA;ACTIONS SECTEUR MATIERES PREMIERES;5;2,25%;0,60%;2,85%
LU0185495495;Ofi Invest US Equity R EUR;OFI Invest Lux;ACTIONS ETATS-UNIS FLEX CAP;5;1,90%;0,60%;2,50%
LU0187079347;Robeco Global Consumer Trends D EUR;Robeco Institutional Asset Management BV;ACTIONS SECTEUR BIENS DE CONSOMMATION;5;1,50%;0,60%;2,10%
LU0190161025;Pictet-Biotech HP EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR SANTE;5;2,40%;0,60%;3,00%
LU0196696453;HSBC Global Investment Funds - Brazil Equity AC;HSBC Investment Funds (Luxembourg) S.A.;ACTIONS BRÉSIL;6;1,75%;0,60%;2,35%
LU0197230542;Fidelity Funds - India Focus Fund A-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS MARCHÉS EMERGENTS ASIE;5;1,50%;0,60%;2,10%
LU0210526801;JPMorgan Funds - Greater China Fund A (acc) - USD;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS CHINE;5;1,50%;0,60%;2,10%
LU0210530662;JPMorgan Funds - Europe Dynamic Fund A (acc) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS EUROPE GDES CAP. MIXTE;4;1,50%;0,60%;2,10%
LU0212178916;BNP Paribas Funds Europe Small Cap Classic Capitalisation;BNP Paribas Asset Management Luxembourg;ACTIONS EUROPE MOYENNES CAP.;4;1,75%;0,60%;2,35%
LU0216734045;AXA World Funds - Europe Real Estate A Capitalisation EUR;AXA Investment Managers Paris S.A.;IMMOBILIER - INDIRECT EUROPE;5;1,50%;0,60%;2,10%
LU0217139020;Pictet-Premium Brands P EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR BIENS DE CONSOMMATION;5;2,40%;0,60%;3,00%
LU0217576759;JPMorgan Funds - Emerging Markets Equity Fund A (acc) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS MARCHÉS EMERGENTS;4;1,50%;0,60%;2,10%
LU0224105477;BlackRock Global Funds - Continental European Flexible Fund Class A2;BlackRock (Luxembourg) SA;ACTIONS EUROPE HORS UK GDES CAP.;5;1,50%;0,60%;2,10%
LU0229940001;Templeton Asian Growth Fund A(acc)EUR;Franklin Templeton International Services S.à r.l.;ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,85%;0,60%;2,45%
LU0238202427;Fidelity Funds - Sustainable Eurozone Equity Fund A-Acc- EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS EUROPE ZONE EURO;4;1,50%;0,60%;2,10%
LU0244270301;JPM US Value A (acc) - EUR (hedged);JPMorgan Asset Management (Europe) S.à r.l.;"ACTIONS ETATS-UNIS GDES CAP. ""VALUE""";4;1,50%;0,60%;2,10%
LU0248172537;Schroder International Selection Fund Emerging Asia A Accumulation EUR;Schroder Investment Management (Europe) S.A.;ACTIONS MARCHÉS EMERGENTS ASIE;4;1,50%;0,60%;2,10%
LU0248178732;Schroder International Selection Fund US Small & Mid-Cap Equity A Accumulation EUR;Schroder Investment Management (Europe) S.A.;ACTIONS ETATS-UNIS MOYENNES CAP.;5;1,50%;0,60%;2,10%
LU0251127410;Fidelity Funds - America Fund A-Acc-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);"ACTIONS ETATS-UNIS GDES CAP. ""VALUE""";4;1,50%;0,60%;2,10%
LU0252633754;Amundi DAX III UCITS ETF Acc;Amundi Luxembourg S.A.;ACTIONS EUROPE HORS UK GDES CAP.;5;0,15%;0,60%;0,75%
LU0255975830;Pictet-Japanese Equity Selection P EUR;Pictet Asset Management (Europe) SA;ACTIONS JAPON;4;1,80%;0,60%;2,40%
LU0255976994;Pictet-Asian Equities Ex Japan P EUR;Pictet Asset Management (Europe) SA;ACTIONS ASIE-PACIFIQUE HORS JAPON;5;2,40%;0,60%;3,00%
LU0255977455;Pictet - Biotech P EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR SANTE;5;2,40%;0,60%;3,00%
LU0255978776;Pictet-Health P EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR SANTE;4;2,40%;0,60%;3,00%
LU0255979071;Pictet-Indian Equities P EUR;Pictet Asset Management (Europe) SA;ACTIONS MARCHÉS EMERGENTS ASIE;5;2,40%;0,60%;3,00%
LU0255979402;Pictet-Japanese Equity Opportunities P EUR;Pictet Asset Management (Europe) SA;ACTIONS JAPON;4;1,80%;0,60%;2,40%
LU0256840447;Allianz Global Investors Fund - Allianz Euroland Equity Growth AT EUR;Allianz Global Investors GmbH;ACTIONS EUROPE ZONE EURO;5;1,80%;0,60%;2,40%
LU0260869739;Franklin U.S. Opportunities Fund A(acc)EUR;Franklin Templeton International Services S.à r.l.;ACTIONS ETATS-UNIS FLEX CAP;5;1,50%;0,60%;2,10%
